Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions,new_descriptions
Cancer,187941007,B3054,,Malig neop carpal - trapezium,,,,Malignant neoplasm of carpal bone - trapezium
Cancer,187942000,B3055,,Malig neop carpal - trapezoid,,,,Malignant neoplasm of carpal bone - trapezoid
Cancer,187943005,B3056,,Malig neop carpal - capitate,,,,Malignant neoplasm of carpal bone - capitate
Cancer,187944004,B3057,,Malig neop carpal - hamate,,,,Malignant neoplasm of carpal bone - hamate
Cancer,187945003,B3058,,Malig neop first metacarpal,,,,Malignant neoplasm of first metacarpal bone
Cancer,187946002,B3059,,Malig neop second metacarpal,,,,Malignant neoplasm of second metacarpal bone
Cancer,187947006,B305A,,Malig neop third metacarpal,,,,Malignant neoplasm of third metacarpal bone
Cancer,187948001,B305B,,Malig neop fourth metacarpal,,,,Malignant neoplasm of fourth metacarpal bone
Cancer,187949009,B305C,,Malig neop fifth metacarpal,,,,Malignant neoplasm of fifth metacarpal bone
Cancer,187950009,B305D,,Malig neop phalanges of hand,,,,Malignant neoplasm of phalanges of hand
Cancer,187952001,B306.,,Malig neop pelvis/sacrum/coccy,,,,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
Cancer,93833009,B3060,,Malignant neoplasm of ilium,,,,Malignant neoplasm of ilium
Cancer,93842002,B306100,mar-cancer,malignant neoplasm of ischium,,,,Malignant neoplasm of ischium
Cancer,93975006,B306200,mar-cancer,malignant neoplasm of pubis,,,,Malignant neoplasm of pubis
Cancer,187956003,B306300,mar-cancer,malignant neoplasm of sacral vertebra,,,,Malignant neoplasm of sacral vertebra
Cancer,187957007,B306400,mar-cancer,malignant neoplasm of coccygeal vertebra,,,,Malignant neoplasm of coccygeal vertebra
Cancer,416842003,B306500,mar-cancer,malignant sacral teratoma,,,,Malignant sacral teratoma (disorder)
Cancer,449627008,B307.00,mar-cancer,malignant neoplasm of long bones of leg,,,,Malignant neoplasm of long bone of lower limb (disorder)
Cancer,93798006,B307000,mar-cancer,malignant neoplasm of femur,,,,Malignant neoplasm of femur
Cancer,93799003,B3071,,Malignant neoplasm of fibula,,,,Malignant neoplasm of fibula
Cancer,94099002,B307200,mar-cancer,malignant neoplasm of tibia,,,,Malignant neoplasm of tibia
Cancer,93871001,B307z,,Malig neop long bone leg NOS,,,,Malignant neoplasm of long bone of lower limb
Cancer,93950007,B3080,,Malignant neoplasm of patella,,,,Malignant neoplasm of patella
Cancer,94083008,B3081,,Malignant neoplasm of talus,,,,Malignant neoplasm of talus
Cancer,187967002,B3082,,Malig neop calcaneum,,,,Malignant neoplasm of calcaneum
Cancer,187968007,B3083,,Malig neop medial cuneiform,,,,Malignant neoplasm of medial cuneiform
Cancer,187969004,B3084,,Malig neop intermed cuneiform,,,,Malignant neoplasm of intermediate cuneiform
Cancer,187970003,B3085,,Malig neop lateral cuneiform,,,,Malignant neoplasm of lateral cuneiform
Cancer,93769007,B3086,,Malignant neoplasm of cuboid,,,,Malignant neoplasm of cuboid
Cancer,187972006,B3087,,Malig neop navicular,,,,Malignant neoplasm of navicular
Cancer,187973001,B308800,mar-cancer,malignant neoplasm of first metatarsal bone,,,,Malignant neoplasm of first metatarsal bone
Cancer,187974007,B3089,,Malig neop second metatarsal,,,,Malignant neoplasm of second metatarsal bone
Cancer,187975008,B308A,,Malig neop third metatarsal,,,,Malignant neoplasm of third metatarsal bone
Cancer,187976009,B308B00,mar-cancer,malignant neoplasm of fourth metatarsal bone,,,,Malignant neoplasm of fourth metatarsal bone
Cancer,187977000,B308C,,Malig neop fifth metatarsal,,,,Malignant neoplasm of fifth metatarsal bone
